x1,x2,x3,x4,x5
10,Burglary,23,26,4
14,Missing Person,11,9,1
14,Larceny Theft,5,9,4
14,Suspicious Occ,5,9,1
16,Drug Offense,23,30,2
16,Drug Offense,23,30,2
16,Traffic Violation Arrest,23,30,1
7,Non-Criminal,25,15,1
22,Other Miscellaneous,14,26,1
3,Robbery,24,28,4
9,Robbery,13,17,4
23,Assault,25,27,4
10,Larceny Theft,7,11,4
7,Larceny Theft,2,29,4
8,Malicious Mischief,30,28,2
12,Larceny Theft,24,32,4
13,Larceny Theft,27,34,4
7,Non-Criminal,27,33,1
14,Miscellaneous Investigation,28,30,1
17,Assault,22,29,4
17,Lost Property,22,29,1
20,Recovered Vehicle,22,29,1
11,Larceny Theft,29,32,4
18,Non-Criminal,18,12,1
11,Larceny Theft,33,27,4
17,Vehicle Impounded,26,26,1
17,Other Miscellaneous,26,26,1
17,Other,9,33,1
19,Assault,14,29,4
19,Larceny Theft,14,29,4
19,Suspicious Occ,14,29,1
19,Larceny Theft,7,11,4
16,Larceny Theft,33,27,4
16,Malicious Mischief,33,27,2
17,Traffic Violation Arrest,32,26,1
17,Other Miscellaneous,32,26,1
15,Robbery,2,22,4
9,Burglary,22,32,4
23,Missing Person,26,14,1
15,Assault,16,26,4
15,Non-Criminal,16,26,1
19,Larceny Theft,33,28,4
14,Missing Person,14,26,1
19,Non-Criminal,5,17,1
21,Burglary,27,28,4
21,Malicious Mischief,27,28,2
22,Larceny Theft,21,25,4
22,Larceny Theft,20,25,4
9,Larceny Theft,9,18,4
20,Larceny Theft,26,29,4
20,Other Miscellaneous,26,29,1
17,Larceny Theft,33,28,4
3,Malicious Mischief,28,24,2
8,Larceny Theft,30,21,4
20,Larceny Theft,8,11,4
18,Non-Criminal,19,26,1
12,Motor Vehicle Theft,18,26,4
18,Juvenile Offenses,11,8,1
18,Missing Person,11,8,1
19,Larceny Theft,28,33,4
19,Fraud,28,33,2
20,Larceny Theft,25,24,4
16,Robbery,27,30,4
19,Larceny Theft,32,27,4
17,Non-Criminal,23,28,1
23,Offences Against The Family And Children,18,2,2
23,Vehicle Impounded,11,35,1
21,Robbery,10,32,4
21,Assault,27,33,4
21,Non-Criminal,27,33,1
23,Assault,24,28,4
23,Drug Offense,24,28,2
23,Drug Offense,24,28,2
22,Robbery,8,34,4
23,Weapons Carrying Etc,4,20,2
23,Drug Offense,4,20,2
23,Drug Violation,4,20,2
23,Traffic Violation Arrest,28,31,1
23,Other Miscellaneous,28,31,1
21,Larceny Theft,25,33,4
22,Warrant,19,26,1
22,Warrant,19,26,1
22,Traffic Violation Arrest,19,26,1
0,Non-Criminal,13,10,1
20,Non-Criminal,4,34,1
20,Missing Person,4,34,1
22,Assault,21,18,4
20,Larceny Theft,6,15,4
14,Larceny Theft,26,28,4
11,Burglary,13,17,4
1,Robbery,25,28,4
1,Warrant,19,24,1
1,Larceny Theft,26,24,4
2,Assault,18,23,4
3,Prostitution,17,27,2
17,Other Miscellaneous,11,34,1
2,Miscellaneous Investigation,25,28,1
3,Motor Vehicle Theft,26,22,4
3,Rape,24,28,4
3,Assault,24,28,4
3,Larceny Theft,25,9,4
0,Larceny Theft,29,30,4
20,Larceny Theft,22,10,4
20,Larceny Theft,25,26,4
8,Larceny Theft,25,21,4
12,Larceny Theft,33,26,4
14,Larceny Theft,24,30,4
9,Larceny Theft,26,29,4
1,Malicious Mischief,21,18,2
15,Larceny Theft,23,16,4
17,Larceny Theft,27,29,4
2,Larceny Theft,19,15,4
9,Lost Property,28,30,1
18,Larceny Theft,27,29,4
4,Larceny Theft,18,33,4
21,Larceny Theft,25,16,4
8,Lost Property,27,16,1
16,Larceny Theft,24,13,4
11,Larceny Theft,22,2,4
23,Lost Property,25,29,1
13,Larceny Theft,20,18,4
23,Lost Property,25,29,1
4,Larceny Theft,24,18,4
4,Other Miscellaneous,24,18,1
4,Other Miscellaneous,24,18,1
4,Motor Vehicle Theft,16,21,4
3,Other,19,26,1
3,Non-Criminal,7,11,1
5,Burglary,7,33,4
7,Assault,24,27,4
14,Embezzlement,25,26,2
10,Suspicious Occ,25,8,1
5,Larceny Theft,12,5,4
16,Other,5,32,1
6,Non-Criminal,23,14,1
17,Missing Person,24,14,1
20,Assault,7,38,4
20,Other Miscellaneous,7,38,1
20,Suspicious Occ,7,38,1
9,Lost Property,19,26,1
7,Civil Sidewalks,21,19,2
13,Motor Vehicle Theft,22,32,4
20,Motor Vehicle Theft,10,31,4
20,Motor Vehicle Theft,26,15,4
7,Malicious Mischief,30,20,2
7,Warrant,26,27,1
7,Non-Criminal,26,27,1
6,Suspicious Occ,19,31,1
22,Fraud,30,28,2
8,Non-Criminal,15,32,1
9,Fraud,12,28,2
5,Malicious Mischief,25,27,2
5,Suspicious Occ,25,27,1
8,Other Offenses,24,22,1
9,Missing Person,28,23,1
12,Fraud,23,31,2
18,Malicious Mischief,19,3,2
7,Suspicious Occ,27,30,1
0,Suspicious Occ,26,27,1
9,Suspicious Occ,28,30,1
4,Burglary,21,11,4
8,Fraud,16,30,2
21,Motor Vehicle Theft,11,30,4
8,Offences Against The Family And Children,23,30,2
8,Case Closure,23,30,1
17,Motor Vehicle Theft,17,25,4
0,Burglary,26,27,4
0,Other Miscellaneous,26,27,1
0,Warrant,26,27,1
9,Drug Offense,8,28,2
9,Warrant,8,28,1
9,Other Miscellaneous,8,28,1
11,Larceny Theft,33,28,4
0,Miscellaneous Investigation,26,29,1
21,Burglary,24,15,4
21,Motor Vehicle Theft,2,26,4
