x1,x2,x3,x4
10,Burglary,23,26
14,Missing Person,11,9
14,Larceny Theft,5,9
14,Suspicious Occ,5,9
16,Drug Offense,23,30
16,Drug Offense,23,30
16,Traffic Violation Arrest,23,30
7,Non-Criminal,25,15
22,Other Miscellaneous,14,26
3,Robbery,24,28
9,Robbery,13,17
23,Assault,25,27
10,Larceny Theft,7,11
7,Larceny Theft,2,29
8,Malicious Mischief,30,28
12,Larceny Theft,24,32
13,Larceny Theft,27,34
7,Non-Criminal,27,33
14,Miscellaneous Investigation,28,30
17,Assault,22,29
17,Lost Property,22,29
20,Recovered Vehicle,22,29
11,Larceny Theft,29,32
18,Non-Criminal,18,12
11,Larceny Theft,33,27
17,Vehicle Impounded,26,26
17,Other Miscellaneous,26,26
17,Other,9,33
19,Assault,14,29
19,Larceny Theft,14,29
19,Suspicious Occ,14,29
19,Larceny Theft,7,11
16,Larceny Theft,33,27
16,Malicious Mischief,33,27
17,Traffic Violation Arrest,32,26
17,Other Miscellaneous,32,26
15,Robbery,2,22
9,Burglary,22,32
23,Missing Person,26,14
15,Assault,16,26
15,Non-Criminal,16,26
19,Larceny Theft,33,28
14,Missing Person,14,26
19,Non-Criminal,5,17
21,Burglary,27,28
21,Malicious Mischief,27,28
22,Larceny Theft,21,25
22,Larceny Theft,20,25
9,Larceny Theft,9,18
20,Larceny Theft,26,29
20,Other Miscellaneous,26,29
17,Larceny Theft,33,28
3,Malicious Mischief,28,24
8,Larceny Theft,30,21
20,Larceny Theft,8,11
18,Non-Criminal,19,26
12,Motor Vehicle Theft,18,26
18,Juvenile Offenses,11,8
18,Missing Person,11,8
19,Larceny Theft,28,33
19,Fraud,28,33
20,Larceny Theft,25,24
16,Robbery,27,30
19,Larceny Theft,32,27
17,Non-Criminal,23,28
23,Offences Against The Family And Children,18,2
23,Vehicle Impounded,11,35
21,Robbery,10,32
21,Assault,27,33
21,Non-Criminal,27,33
23,Assault,24,28
23,Drug Offense,24,28
23,Drug Offense,24,28
22,Robbery,8,34
23,Weapons Carrying Etc,4,20
23,Drug Offense,4,20
23,Drug Violation,4,20
23,Traffic Violation Arrest,28,31
23,Other Miscellaneous,28,31
21,Larceny Theft,25,33
22,Warrant,19,26
22,Warrant,19,26
22,Traffic Violation Arrest,19,26
0,Non-Criminal,13,10
20,Non-Criminal,4,34
20,Missing Person,4,34
22,Assault,21,18
20,Larceny Theft,6,15
14,Larceny Theft,26,28
11,Burglary,13,17
1,Robbery,25,28
1,Warrant,19,24
1,Larceny Theft,26,24
2,Assault,18,23
3,Prostitution,17,27
17,Other Miscellaneous,11,34
